AWS Service,Actions/Permissions,Resources ARNs,Tags / Conditions,Comments,Business justification
S3,Allow s3:ListAllMyBuckets,*,,Policy: S3-DevAccess / Sid: ListNexus,Enumerate buckets for workflows and UI navigation.
S3,Allow s3:ListBucket,arn:aws:s3:::nexus,"StringLike s3:prefix=[incoming/*, analytics-hub/*, prism/*, lab-workshop/*]; StringEquals aws:sourceVpce=<YOUR_VPCE_ID>",Policy: S3-DevAccess / Sid: ListPrefixes,Browse required prefixes for development and testing.
S3,"Allow s3:GetObject, s3:PutObject, s3:DeleteObject",arn:aws:s3:::nexus/lab-workshop/*; arn:aws:s3:::nexus/analytics-hub/*,StringEquals aws:sourceVpce=<YOUR_VPCE_ID>,Policy: S3-DevAccess / Sid: RWDevAndAnalytics,Write ETL scripts and dev outputs; save Athena results.
S3,Allow s3:GetObject,arn:aws:s3:::nexus/prism/*,StringEquals aws:sourceVpce=<YOUR_VPCE_ID>,Policy: S3-DevAccess / Sid: ReadPrismOnly,Read curated data for development and validation.
S3,"Deny s3:PutObject, s3:DeleteObject",arn:aws:s3:::nexus/prism/*; arn:aws:s3:::nexus/icebox/*,,Guardrail: S3-DevAccess / Sid: DenyWriteCuratedRaw,Protect curated (prism) and raw (icebox) zones from human writes.
Glue (Catalog),"Deny glue:DeleteTable, glue:BatchDeleteTable, glue:DeleteDatabase",arn:aws:glue:us-west-2:111122223333:database/security_curated; arn:aws:glue:us-west-2:111122223333:table/security_curated/*,,Policy: Glue-DDL-Scoped / Sid: DenyDropInCurated,Prevent destructive DDL in curated catalog.
Glue (Catalog),"Allow glue:GetDatabase, glue:GetTable, glue:GetTables, glue:GetPartition, glue:GetPartitions, glue:CreateTable, glue:UpdateTable",arn:aws:glue:us-west-2:111122223333:catalog; arn:aws:glue:us-west-2:111122223333:database/security_curated; arn:aws:glue:us-west-2:111122223333:table/security_curated/*,,Policy: Glue-DDL-Scoped / Sid: AllowReadUpdateInCurated,Allow non-destructive schema evolution and reads in curated.
Glue (Catalog),"Allow glue:CreateDatabase, glue:UpdateDatabase, glue:DeleteDatabase, glue:CreateTable, glue:UpdateTable, glue:DeleteTable, glue:GetDatabase, glue:GetTable, glue:GetTables",arn:aws:glue:us-west-2:111122223333:catalog; arn:aws:glue:us-west-2:111122223333:database/security_scratch; arn:aws:glue:us-west-2:111122223333:table/security_scratch/*,,Policy: Glue-DDL-Scoped / Sid: FullInScratch,Full control of scratch database for development.
Glue (Jobs),Allow glue:CreateJob,*,"Require aws:RequestTag/Environment=Dev AND aws:RequestTag/Project=DataDash; ForAllValues:StringEquals aws:TagKeys=[Environment, Project]",Policy: Glue-DevJobs-AuthorAndRun / Sid: CreateDevJobs,Builders create only Dev-tagged jobs.
Glue (Jobs),"Allow glue:UpdateJob, glue:DeleteJob, glue:GetJob, glue:GetJobs, glue:GetJobRun, glue:GetJobRuns, glue:TagResource, glue:UntagResource",arn:aws:glue:us-west-2:111122223333:job/*,StringEquals aws:ResourceTag/Environment=Dev,Policy: Glue-DevJobs-AuthorAndRun / Sid: UpdateDeleteDevJobs,Manage Dev jobs only.
Glue (Jobs),"Allow glue:StartJobRun, glue:BatchStopJobRun",arn:aws:glue:us-west-2:111122223333:job/*,StringEquals aws:ResourceTag/Environment=Dev,Policy: Glue-DevJobs-AuthorAndRun / Sid: RunDevJobsOnly,Run Dev jobs for testing and QA.
Glue (Jobs),"Deny glue:StartJobRun, glue:BatchStopJobRun",arn:aws:glue:us-west-2:111122223333:job/*,StringEquals aws:ResourceTag/Environment=Prod,Policy: Glue-DevJobs-AuthorAndRun / Sid: DenyRunProdJobs,Separation of duties—no prod runs from Builder role.
IAM,Allow iam:PassRole; Allow iam:GetRole,arn:aws:iam::111122223333:role/AWSGlueServiceRole-Dev,StringEquals iam:PassedToService=glue.amazonaws.com,Policy: PassRole-GlueDevOnly,Let Glue assume the Dev execution role only.
Athena,Allow athena:* (query/read ops only – see list),*,,"Policy: Athena-Full-Dev (StartQueryExecution, StopQueryExecution, Get*, List*, NamedQuery/PreparedStatement APIs)",Full query capability for development and validation.
